id	author	page	piece of text	concept	reference page	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	author position	analytic stylistic category	synthetic stylistic category	major stylistic category	minor stylistic category	aestheticity
7.2.3			Let us now return, before considering the other two ties, to the case of the fortuitous splat that looks like the Polish Rider. Once more we may ask what it is about, what its subject is, and the answer is (I should think) that it has no subject, though there might seem an argument to the effect that, given parity of form with the Polish Rider, it should be about whatever the Polish Rider is about, and ambiguous if the latter is ambiguous. But of course it is not even clear that the splat has any structure, even if it is congruent with an object - the Polish Rider itself - which has one; and even if if did, it would be far from plain that it inherits meaning from its structural counterpart		48			Struttura essenziale dell'opera: l'opera ha un contenuto			Vd: analytic stylistic category; 4.1.1				
8				Struttura dell'opera											
8.1						La struttura dell'opera d'arte non può essere definita a partire dalle proprietà percettive	Proprietà percettive								
8.1.1			So much the worse for the properties that meet the eye, then, in individuating works of art		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?							
8.1.2			it was not a copy therefore		36			Tentativo in negativo di definizione del prodotto di Menard: non è una copia	Apparentemente l'opera di Menard potrebbe sembrare una copia di quella di Cervantes, ma in realtà non lo è: il ricorso alle proprietà sensibili è fallimentare quando si tratta di classificare ontologicamente gli enti del mondo						
8.1.3			Nor is Menard's a quotation of the original		36			Tentativo in negativo di definizione del prodotto di Menard: non è una citazione	Apparentemente l'opera di Menard potrebbe sembrare una citazione di quella di Cervantes, ma in realtà non lo è: il ricorso alle proprietà sensibili è fallimentare quando si tratta di classificare ontologicamente gli enti del mondo						
8.1.4			Again, his cannot be easily assimilated to the concept of imitation		37			Tentativo in negativo di definizione del prodotto di Menard: non è un'imitazione	Apparentemente l'opera di Menard potrebbe sembrare una imitazione di quella di Cervantes, ma in realtà non lo è: il ricorso alle proprietà sensibili è fallimentare quando si tratta di classificare ontologicamente gli enti del mondo						
8.1.5			Finally, I think, Menard's work cannot be considered a repetition of Cervantes'. Simply because two works resemble one another does not mean that the artist of the one is repeating the artist of the other		38			Tentativo in negativo di definizione del prodotto di Menard: non è una ripetizione	Apparentemente l'opera di Menard potrebbe sembrare una ripetizione di quella di Cervantes, ma in realtà non lo è: il ricorso alle proprietà sensibili è fallimentare quando si tratta di classificare ontologicamente gli enti del mondo						
8.1.6			The logical point, while it guarantees that if a is not identical with b, then there must be a property F such that a is F and b is not F, does not require that F be a perceptual property, and we have had enough practice with indiscernibilia to be able to offer actual instances where the differences are not such as may be registered by the senses		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Gli elementi che definiscono l'identità di un ente sono non percettivi (intenzione dell'autore storicamente determinata, possibile contenuto, storia causale)	Tesi dell'autore					
8.1.7			The three neckties, for example, may be noticeably different without this entailing that the noticeable differences will identify which of them is an artwork and which is not, and this primarily through the fact that it is not clear that concepts like "work of art" and "forgery" are translatanle into sets of simple percetual predicates		44			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente		Tesi dell'autore					
8.1.8			objects do not wear their histories on their surfaces		44			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente		Tesi dell'autore					
9				Proprietà percettive											
9.1						L'identicità di tutte (e sole!) le proprietà percettive ha come risultato l'indiscernibilità grafica	Indiscernibilità percettiva		I casi di indiscernibilia mettono in luce l'inadeguatezza delle proprietà sensibili come criteri per determinare che cosa è artistico			Nominale: l'insoddifazione per le proprietà sensibili (che emerge soprattutto nei casi di indiscernibilità) come misura dell'artisticità di un ente mostra indirettamente che quel Danto sta tentando di fare è un'indagine ontologica			
9.1.1			That there should exist indiscernible artworks - indiscernible at least with respect to anything the eye or ear can determine		33			Indiscernibilia	il tono è restrittivo: l'indiscernibilità è solo delle proprietà percettive e in un'analisi ontologica va superata			Vd: synthetic stylistic category; 9.1			
9.1.2			There he describes two fragments of works, one of which is part of Don Quixote by Cervantes, and the other, like it in every graphic respect - like it, indeed, as much as two copies of the fragment by Cervantes could be - which happens to be by Pierre Menard and not by Cervantes		33			Indiscernibilia	Vd: gloss; 9.1.1			Vd: synthetic stylistic category; 9.1			
9.1.3			though nothing would be easier than to mistake a copy of Cervantes for a copy of Menard		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	il tono è concessivo: l'indiscernibilità è solo delle proprietà percettive e in un'analisi ontologica va superata			Vd: synthetic stylistic category; 9.1			
9.1.4			though they look as much like one another as do paired copies of the same work		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.5			They have only in common those properties that the eye as such might identify		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 9.1.1			Vd: synthetic stylistic category; 9.1			
9.1.6			even though every word contained in the Menard version can be found in Cervantes' and in the corresponding position		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.7			for all their graphic indiscernibility		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.8			graphic congruities notwithstanding		36			Caso Cervantes-Menard: la sua storia causale determina ontologicamente un ente	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.9			though it may resemble it precisely		39			Tentativo in negativo di definizione del prodotto di Menard: la sua storia causale determina ontologicamente un ente	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.10			though there is a sort of indiscernibility our examples require		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.11			similarity of surface notwithstanding		42			Critica al purismo estetico: la posizione di Goodman	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.12			allowing therefore the logical possibility that two things may be perceptually indiscernible		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Vd: gloss; 9.1.1			Vd: synthetic stylistic category; 9.1			
9.1.13			though it is possible that objects identical to artworks		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.14			even if it is congruent with an object - the Polish Rider		48			Struttura essenziale dell'opera: l'opera ha un contenuto	Vd: gloss; 9.1.4			Vd: synthetic stylistic category; 9.1			
9.1.15			the result looks exactly like the photograph of the World Trade Center		48			Struttura essenziale dell'opera: la storia causale determina la struttura dell'opera	to look exactly like è diverso da to be exactly like			Vd: synthetic stylistic category; 9.1			
9.2						Le proprietà sensibili sono assunte dal purismo estetico come criterio per definire che cosa è artistico e cosa no	Purismo estetico		Le proprietà sensibili sono oggetto di particolare attenzione da parte della corrente teorica avversaria di Danto: Danto critica tale teoria mettendo in luce che assumere le proprietà percettive come misura di artisticità non permette di risolvere i casi di indiscernibilità e sposta il piano dell'analisi, che diviene psicofisica e non ontologica						
9.2.1			critics who urge us to pay attention to the work itself		36			Caso Cervantes-Menard: la sua storia causale determina ontologicamente un ente		Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
9.2.2			But the attitude expressed here has perhaps the force that such things ought not to figure, that we should give ourselves up to "the work itself"		41			Critica al purismo estetico: la posizione di Goodman		Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
9.2.3			Goodman then goes on to argue that no proof can be given that a perceptual difference may not be found, so thing that look alike today may look so different tomorrow that it will seem retrospectively amazing that confusion ever could have arisen		42			Critica al purismo estetico: la posizione di Goodman		Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
9.2.4			So it is almost a problem in psychophysics rather than one in ontology		42			Critica al purismo estetico: la posizione di Goodman	Le premesse teoriche di Goodman e di Danto sono inconciliabili: secondo Danto, scegliendo di concentrarsi sulla dimensione sensibile degli enti, Goodman non può che occuparsi di questioni psicofisiche e non ontologiche	Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
9.2.5			And it is striking as a matter of concealed bias on Goodman's part that he should spontaneously have assumed that all aesthetic differences are perceptual differences		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente				Vd: synthetic stylistic category; 9.1			
10				Purismo estetico											
10.1						Il purismo estetico per definire la struttura dell'opera considera solo le proprietà percettive (rendendo impossibile l'indagine stessa che si prefigge secondo Danto) e ignora tutti i fattori riconducibili alla causazione	Struttura dell'opera								
10.1.1			though I have heard this attitude expressed in connection with artworks of a measurably greater degree of sublimity than these, and with the intent of dismissing as irrelevant to experiencing them the sorts of allegedly grubby facts having to do with where and when and by whom the thing was done		41			Critica al purismo estetico: la posizione di Goodman		Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
10.1.2			Our recent encounter with Pierre Menard should imply a cautionary attitude regarding such purist aesthetic imperatives, such ahistorical views of artworks		42			Critica al purismo estetico: la posizione di Goodman				Vd: synthetic stylistic category; 9.1			
						Il purismo estetico va superato dando rilievo agli elementi non sensibili della struttura dell'opera come fattori per un'analisi ontologica	Struttura dell'opera								
10.2			But then the entire structure of the examples with which we have been working cries out for an answer to the inverse of Goodman's question, whether an unnoticed, and let us even suppose unnoticeabile, difference can make an aesthetic difference		42			Critica al purismo estetico: la posizione di Goodman				Vd: synthetic stylistic category; 9.1			
10.2.1			To be sure, we are not yet in a position to ponder aesthetic differences, our being a prior question of the ontological difference between artworks and their nonartistic counterparts, and there is a question whether this difference, which again is unnoticeable so far as examination of the objects is concerned, can make anything like an aesthetic difference		42			Critica al purismo estetico: la posizione di Goodman				Vd: synthetic stylistic category; 9.1			
10.2.2			the purists who ask us to surrender ourselves to the work itself have supposed, after all, that it is a work to which we are to surrender ourselves, and it is not clear what they would urge regarding objects that are in no sense works, like our fortuitously splattered pare-Polish Rider (or, if it si in some sense a work, its identity must be so different from that of the Polish Rider that, similarity of surface notwithstanding, it would be astonishing were there to be no difference in "aesthetic response," whatever that may be)						Il purismo estetico non effettua un'indagine ontologica			Vd: synthetic stylistic category; 9.1			
10.2.3			Furthermore, I think, whatever may be the case with aesthetic differences, even supposing Goodman is right, and that sustained and protracted peering and comparison will ultimately make a difference, so that we can learn to tell Lippo Lippi from Filippino Lippi and Vermeer from Peter de Hooch, as we learn to tell vogne romanée from beaujolais, still this will not help us with the serious ontological question, namely that of deciding which is which between artworks and nonartworks		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Danto concede che i puristi potrebbero aver ragione quando dicono che la percezione cambierà nel tempo, ma pensa che questo non aiuti in nessun modo a risolvere il problema ontologico: la definizione degli enti non si basa sulle proprietà percettive, ma sulla loro storia causale			Vd: synthetic stylistic category; 9.1			
10.3						Il purismo estetico nega la condizione dell'indiscernibilità	Indiscernibilità		Vd: gloss; 9.2.4						
10.3.1			Goodman in a curious way rejects one of the conditions of the question, namely the condition of indiscernibility. And it appers to be his view that indiscernibility is only momentary, that sooner or later differences will emerge		42			Critica al purismo estetico: la posizione di Goodman	Curious è quasi sarcastico: Danto mostra le conseguenze delle assunzioni metodologiche del purismo estetico e la negazione della condizione dell'indiscernibilità	Prospettiva che l'autore critica		Vd: synthetic stylistic category; 9.1			
11				Indiscernibilità percettiva											
11.1						L'indiscernibilità percettiva di due enti non esclude che le loro strutture ontologiche siano differenti	Struttura dell'opera		Vd: gloss; 9.1			Nominale: i casi di enti ontologicamente differenti ma percettivamente indiscernibili mostrano che l'intento di Danto è una classificazione degli enti che non si basi sul loro aspetto sensibile			
11.1.1			it is a fact that the two works identified by Borges, that of Cervantes and that of Menard, would generate classes of indiscernible copies, the one class copies of the work of Cervantes, the other copies of that of Menard: but these would be copies of different, even importantly different, works, though nothing would be easier than to mistake a copy of Cervantes for a copy of Menard		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Il contrasto tra indiscernibilità percettiva e differenza ontologica muove l'analisi			Vd: synthetic stylistic category; 11.1			
11.1.2			but a copy of Cervantes and a copy of Menards are copies of different works, though they look as much like one another as do paired copies of the same work		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 11.1.1			Vd: synthetic stylistic category; 11.1			
11.1.3			Borges tells us that the Quixote of Menard is infinitely more subtle than that of Cervantes, while that of Cervantes is immeasurably more coarse than its counterpart even though every word contained in the Menard version can be found in Cervantes' and in the corresponding position		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 11.1.1		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 11.1			
11.1.4			I would hesitate to predict a glorious artistic future for this child merely on the grounds that he had produced an entity indiscernible from one turned out by the greatest master of modern times. It is not as if the child had covered the walls of the living room with something not to be told apart from the Legend of the True Cross. I am prepared to go further and insist that even though there is the sort of indiscernibility our examples require, what the child has effected is not an artwork		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Vd: gloss; 11.1.1			Vd: synthetic stylistic category; 11.1			
11.1.5			The logical point, while it guarantees that if a is not identical with b, then must be a property F such that a is F and b is not F, does not require that F be a perceptual property, and we have had enough practice with indiscernibilia to be able to offer actual instances where the differences are not such as may be registered by the senses. So it is possible that future investigation may reveal differences between two objects which are not perceptual differences, allowing therefore the logical possibility that two things may be perceptually indiscernible		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente		Tesi dell'autore					
11.1.6			There was a certain sense of unfairness felt at the time when Warhol piled the Stable Gallery full of his Brillo boxes; for the commonplace Brillo container was actually designed by an artist, an Abstract Expressionist drive by need into commercial art; and the question was why Warhol's boxes should have been worth $200 when that man's products were not worth a dime. Whatever explains this explains, as well, why the primed canvas of Giorgione, in our first example, fails to be an artwork though resembling in every respect the red expanses which are such		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera	Vd: gloss; 11.1.1			Vd: synthetic stylistic category; 11.1			
11.1.7			Let us now return, before considering the other two ties, to the case of the fortuitous splat that looks like the Polish Rider. Once more we may ask what it is about, what its subject is, and the answer is (I should think) that it has no subject, though there might seem an argument to the effect that, given parity of form with the Polish Rider, it should be about whatever the Polish Rider is about,and ambiguous if the latter is ambiguous. But of course it is not even clear that the splat has any structure, even if it is congruent with an object - the Polish Rider itself - which has one; and even if it did, it would be far from plain that it inherits meaning from its structural counterpart		48			Struttura essenziale dell'opera: l'opera ha un contenuto	Vd: gloss; 11.1.1		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 11.1			
11.1.8			the result looks exactly like the photograph of the World Trade Center. But it is not that		48			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Vd: gloss; 11.1.1			Vd: synthetic stylistic category; 11.1			
